feature,importance_mean,importance_std
PS3_K,0.3489425981873111,0.014473159597587293
EPS1_M,0.20906344410876126,0.01038238083228978
SE_V,0.1858006042296072,0.007244458494430088
PS1_V,0.17296072507552865,0.01464945305913409
CE_M,0.13247734138972805,0.013256093915068769
PS2_V,0.11858006042296068,0.006089318541010991
SE_M,0.11646525679758306,0.009984654301909819
PS1_M,0.11404833836858001,0.011548731071629865
EPS1_V,0.09365558912386701,0.010934719680274228
PS2_M,0.09033232628398785,0.008698598216850742
PS4_M,0.08338368580060415,0.012099688455891723
TS3_M,0.06193353474320236,0.006755492379153432
TS2_M,0.04848942598187306,0.007195471518921157
TS4_M,0.042598187311178204,0.006472593741881744
PS3_S,0.025679758308157052,0.006755492379153451
FS1_V,0.02205438066465252,0.006961763517705699
TS1_M,0.012688821752265812,0.006928909330017931
PS4_S,0.012386706948640424,0.0036253776435045395
PS4_K,0.006646525679758253,0.0019344786215809396
FS1_S,0.004078549848942547,0.003703217725719409
TS4_S,0.0036253776435044905,0.0037734126878540275
PS4_V,0.0019637462235648885,0.003099438750556371
CE_K,0.0009063444108760698,0.0026337757967013105
PS6_K,0.00045317220543804603,0.0006922319780899748
PS5_K,0.0001510574018126709,0.0008134690040988538
FS2_M,0.00015105740181265982,0.001057401812688809
FS1_K,0.0001510574018126487,0.002821985149889637
CP_V,0.0,0.0
PS3_M,0.0,0.0
FS2_V,0.0,0.0
FS2_K,0.0,0.0
VS1_M,0.0,0.0
VS1_V,0.0,0.0
PS6_V,0.0,0.0
TS4_V,0.0,0.0
PS6_S,0.0,0.0
TS3_V,0.0,0.0
PS5_S,0.0,0.0
TS1_V,0.0,0.0
TS2_V,0.0,0.0
PS5_V,0.0,0.0
PS3_V,-0.0001510574018126931,0.0004531722054380793
TS1_S,-0.0003021148036253862,0.0006042296072507724
CE_V,-0.0003021148036253862,0.0006042296072507724
CP_S,-0.00030211480362543066,0.0020040028944745703
PS2_S,-0.00045317220543807937,0.0006922319780900258
SE_S,-0.00045317220543807937,0.0006922319780900258
PS2_K,-0.0007552870090634656,0.0010133238568730454
TS3_S,-0.0007552870090634878,0.00154787775920841
EPS1_K,-0.0009063444108761698,0.0024543922672616166
PS1_K,-0.0012084592145015561,0.00200400289447457
TS2_S,-0.0012084592145015672,0.0020040028944745803
TS4_K,-0.0012084592145015672,0.0032257033994052458
CE_S,-0.001359516616314227,0.0012547770185676926
SE_K,-0.001359516616314238,0.001843890576394835
FS2_S,-0.0015105740181269312,0.0009553708943107159
FS1_M,-0.0018126888217523062,0.0021148036253776496
CP_K,-0.0018126888217523285,0.0021148036253776465
TS2_K,-0.0019637462235649883,0.00166163141993959
EPS1_S,-0.0019637462235650104,0.0006922319780900257
PS1_S,-0.002114803625377704,0.0007400271126233376
VS1_S,-0.0025679758308157496,0.001661631419939585
TS3_K,-0.0027190332326284426,0.0016269380081977444
TS1_K,-0.002719033232628465,0.001886706343927007
CP_M,-0.00302114803625384,0.0009553708943106807
PS6_M,-0.003474320241691908,0.0011797960235508437
PS5_M,-0.0036253776435045903,0.0012084592145014978
VS1_K,-0.004229607250755341,0.0025988898087742347
