feature,importance_mean,importance_std
PS2_V,0.38202416918429,0.013884961043864644
PS2_M,0.34697885196374617,0.017117543238066035
TS3_M,0.30105740181268875,0.009697132233053806
EPS1_M,0.28293051359516613,0.011284907973184146
SE_V,0.22220543806646517,0.013852054347422347
TS4_M,0.16510574018126886,0.013478011497700526
TS2_M,0.14138972809667671,0.008550436071350398
PS1_M,0.14078549848942595,0.008828785012811138
CE_M,0.11782477341389726,0.007181186902721894
SE_M,0.10574018126888214,0.00810659085498413
PS1_V,0.0966767371601208,0.011263656726469663
EPS1_V,0.08398791540785495,0.012587713991540577
PS3_K,0.06827794561933528,0.007486109784509887
FS1_V,0.06812688821752261,0.008503606009086147
TS1_M,0.05694864048338364,0.009649955440292715
PS4_M,0.038670694864048304,0.0033232628398791432
SE_K,0.03398791540785494,0.005621690050129434
SE_S,0.007552870090634422,0.0011700856030838164
PS1_S,0.00589123867069481,0.001577085575364134
EPS1_S,0.005589123867069423,0.001661631419939584
FS1_M,0.0039274924471298656,0.002359592047101707
FS1_K,0.0019637462235648994,0.0020322694935156578
VS1_K,0.0018126888217522286,0.0036253776435045313
TS1_K,0.0015105740181268201,0.0
PS4_K,0.0013595166163141604,0.0014250726785583964
FS2_K,0.001359516616314138,0.00045317220543804603
PS5_S,0.0007552870090634101,0.0007552870090634101
TS2_S,0.0006042296072507281,0.0007400271126232833
TS4_S,0.0006042296072507169,0.0013844639561800029
PS5_M,0.0004531722054380349,0.0013595166163141912
FS1_S,0.00045317220543801274,0.0027064158409620797
TS1_V,0.00030211480362536404,0.0006042296072507281
CE_V,0.00030211480362536404,0.0006042296072507281
PS6_S,0.00030211480362536404,0.0006042296072507281
PS4_S,0.0003021148036253418,0.0028501453571167963
PS6_M,0.0003021148036253418,0.0011304100866386378
VS1_M,0.00015105740181268202,0.00045317220543804603
TS3_S,0.0001510574018126487,0.0015770855753641272
TS4_V,0.0,0.0
FS2_V,0.0,0.0
PS5_K,0.0,0.0
PS6_V,0.0,0.0
CP_V,0.0,0.0
PS6_K,0.0,0.0
PS2_S,0.0,0.0
VS1_S,0.0,0.0
TS2_V,0.0,0.0
VS1_V,0.0,0.0
PS5_V,0.0,0.0
TS3_V,0.0,0.0
PS3_V,0.0,0.0
PS3_M,0.0,0.0
CE_S,-2.2204460492503132e-17,0.0009553708943106807
CP_S,-0.00015105740181272642,0.0014250726785584012
TS1_S,-0.0003021148036253862,0.0006042296072507724
CP_M,-0.0006042296072507724,0.0007400271126233376
FS2_S,-0.0006042296072507836,0.001002001447237286
PS4_V,-0.0007552870090634878,0.001818971990754138
PS2_K,-0.0009063444108761698,0.0012084592145015227
CE_K,-0.0009063444108761809,0.0015404892790310618
TS2_K,-0.001359516616314238,0.0012547770185677206
FS2_M,-0.0015105740181269312,0.0009553708943107159
PS3_S,-0.0018126888217523175,0.0017616168866602237
CP_K,-0.0019637462235649996,0.0011797960235508636
TS4_K,-0.0022658610271903746,0.0024590363438217163
EPS1_K,-0.0022658610271903967,0.0007552870090634656
PS1_K,-0.0024169184290030897,0.0007400271126233376
TS3_K,-0.0027190332326284426,0.0025988898087742
